"date","year","month","day","9129002"
1979-03-28,1979,3,28,0.0051353767
1979-03-29,1979,3,29,0
1979-03-30,1979,3,30,0
1979-03-31,1979,3,31,0
1979-04-01,1979,4,1,0
1979-04-02,1979,4,2,0
1979-04-03,1979,4,3,0
1979-04-04,1979,4,4,0
1979-04-05,1979,4,5,0
1979-04-06,1979,4,6,0
1979-04-07,1979,4,7,0
1979-04-08,1979,4,8,0
1979-04-09,1979,4,9,0
1979-04-10,1979,4,10,0
1979-04-11,1979,4,11,0
1979-04-12,1979,4,12,0
1979-04-13,1979,4,13,0
1979-04-14,1979,4,14,0
1979-04-15,1979,4,15,0
1979-04-16,1979,4,16,0
1979-04-17,1979,4,17,0
1979-04-18,1979,4,18,0
1979-04-19,1979,4,19,0
1979-04-20,1979,4,20,0
1979-04-21,1979,4,21,0
1979-04-22,1979,4,22,0
1979-04-23,1979,4,23,0
1979-04-24,1979,4,24,0
1979-04-25,1979,4,25,0
1979-04-26,1979,4,26,0.60783095
1979-04-27,1979,4,27,25.240865
1979-04-28,1979,4,28,13.574841
1979-04-29,1979,4,29,0.0081602561
1979-04-30,1979,4,30,6.3707913
1979-05-01,1979,5,1,35.456102
1979-05-02,1979,5,2,6.0836675
1979-05-03,1979,5,3,0
1979-05-04,1979,5,4,0
1979-05-05,1979,5,5,0
1979-05-06,1979,5,6,0
1979-05-07,1979,5,7,0
1979-05-08,1979,5,8,0
1979-05-09,1979,5,9,11.592184
1979-05-10,1979,5,10,27.889365
1979-05-11,1979,5,11,0.40793699
1979-05-12,1979,5,12,9.0330976
1979-05-13,1979,5,13,8.7281752
1979-05-14,1979,5,14,25.053631
1979-05-15,1979,5,15,20.057014
1979-05-16,1979,5,16,34.496603
1979-05-17,1979,5,17,22.284711
1979-05-18,1979,5,18,14.858304
1979-05-19,1979,5,19,15.083396
1979-05-20,1979,5,20,20.708435
1979-05-21,1979,5,21,10.183381
1979-05-22,1979,5,22,0.42805299
1979-05-23,1979,5,23,0
1979-05-24,1979,5,24,19.603461
1979-05-25,1979,5,25,0.72768951
1979-05-26,1979,5,26,17.759405
1979-05-27,1979,5,27,21.449835
1979-05-28,1979,5,28,4.4320468
1979-05-29,1979,5,29,0
1979-05-30,1979,5,30,0
1979-05-31,1979,5,31,0
1979-06-01,1979,6,1,39.218641
1979-06-02,1979,6,2,17.785834
1979-06-03,1979,6,3,7.369011
1979-06-04,1979,6,4,0
1979-06-05,1979,6,5,0
1979-06-06,1979,6,6,0
1979-06-07,1979,6,7,0
1979-06-08,1979,6,8,0
1979-06-09,1979,6,9,0
1979-06-10,1979,6,10,0
1979-06-11,1979,6,11,0
1979-06-12,1979,6,12,0
1979-06-13,1979,6,13,0
1979-06-14,1979,6,14,0
1979-06-15,1979,6,15,0.0025411921
1979-06-16,1979,6,16,0.0052683095
1979-06-17,1979,6,17,1.4306265
1979-06-18,1979,6,18,35.871841
1979-06-19,1979,6,19,0
1979-06-20,1979,6,20,0
1979-06-21,1979,6,21,0
1979-06-22,1979,6,22,19.931869
1979-06-23,1979,6,23,0.97357432
1979-06-24,1979,6,24,0
1979-06-25,1979,6,25,0
1979-06-26,1979,6,26,0
1979-06-27,1979,6,27,0
1979-06-28,1979,6,28,0
1979-06-29,1979,6,29,0
1979-06-30,1979,6,30,0
1979-07-01,1979,7,1,0
1979-07-02,1979,7,2,0
1979-07-03,1979,7,3,0
1979-07-04,1979,7,4,0
1979-07-05,1979,7,5,0
1979-07-06,1979,7,6,0
1979-07-07,1979,7,7,0
1979-07-08,1979,7,8,0
1979-07-09,1979,7,9,0
1979-07-10,1979,7,10,0
1979-07-11,1979,7,11,5.7639455
1979-07-12,1979,7,12,8.1686821
1979-07-13,1979,7,13,7.3643893
1979-07-14,1979,7,14,6.5538638
1979-07-15,1979,7,15,0
1979-07-16,1979,7,16,16.070516
1979-07-17,1979,7,17,17.636731
1979-07-18,1979,7,18,0
1979-07-19,1979,7,19,0
1979-07-20,1979,7,20,2.9996928
1979-07-21,1979,7,21,0
1979-07-22,1979,7,22,19.372718
1979-07-23,1979,7,23,32.437723
1979-07-24,1979,7,24,24.179624
1979-07-25,1979,7,25,46.789093
1979-07-26,1979,7,26,29.150614
1979-07-27,1979,7,27,60.766083
1979-07-28,1979,7,28,39.62018
1979-07-29,1979,7,29,40.148667
1979-07-30,1979,7,30,19.453819
1979-07-31,1979,7,31,20.668087
1979-08-01,1979,8,1,18.16293
1979-08-02,1979,8,2,7.8172316
1979-08-03,1979,8,3,42.791091
1979-08-04,1979,8,4,14.526978
1979-08-05,1979,8,5,44.957982
1979-08-06,1979,8,6,2.1426524
1979-08-07,1979,8,7,5.2689928
1979-08-08,1979,8,8,22.190463
1979-08-09,1979,8,9,4.7129315
1979-08-10,1979,8,10,0
1979-08-11,1979,8,11,0
1979-08-12,1979,8,12,0
1979-08-13,1979,8,13,0
1979-08-14,1979,8,14,0
1979-08-15,1979,8,15,0
1979-08-16,1979,8,16,0
1979-08-17,1979,8,17,0.35918471
1979-08-18,1979,8,18,0.15441884
1979-08-19,1979,8,19,11.735524
1979-08-20,1979,8,20,53.744098
1979-08-21,1979,8,21,10.100746
1979-08-22,1979,8,22,14.065971
1979-08-23,1979,8,23,51.294878
1979-08-24,1979,8,24,42.039102
1979-08-25,1979,8,25,28.631122
1979-08-26,1979,8,26,32.345892
1979-08-27,1979,8,27,9.8327261
1979-08-28,1979,8,28,0.012888243
1979-08-29,1979,8,29,62.395928
1979-08-30,1979,8,30,18.046716
1979-08-31,1979,8,31,21.702282
1979-09-01,1979,9,1,15.08835
1979-09-02,1979,9,2,10.265397
1979-09-03,1979,9,3,0
1979-09-04,1979,9,4,0
1979-09-05,1979,9,5,0
1979-09-06,1979,9,6,0
1979-09-07,1979,9,7,0
1979-09-08,1979,9,8,0
1979-09-09,1979,9,9,12.215847
1979-09-10,1979,9,10,3.9388035
1979-09-11,1979,9,11,0
1979-09-12,1979,9,12,0.74242722
1979-09-13,1979,9,13,25.043251
1979-09-14,1979,9,14,13.345209
1979-09-15,1979,9,15,1.7926272
1979-09-16,1979,9,16,0
1979-09-17,1979,9,17,0
1979-09-18,1979,9,18,4.6526305
1979-09-19,1979,9,19,16.178492
1979-09-20,1979,9,20,10.151211
1979-09-21,1979,9,21,28.143474
1979-09-22,1979,9,22,58.154356
1979-09-23,1979,9,23,7.1682519
1979-09-24,1979,9,24,2.9028749
1979-09-25,1979,9,25,16.672403
1979-09-26,1979,9,26,5.2380984
1979-09-27,1979,9,27,10.357664
1979-09-28,1979,9,28,3.5078871
1979-09-29,1979,9,29,0
1979-09-30,1979,9,30,5.2922383
1979-10-01,1979,10,1,0.19366523
1979-10-02,1979,10,2,0
1979-10-03,1979,10,3,7.6040044
1979-10-04,1979,10,4,6.4715132
1979-10-05,1979,10,5,0.31498966
1979-10-06,1979,10,6,0
1979-10-07,1979,10,7,0
1979-10-08,1979,10,8,0
1979-10-09,1979,10,9,0
1979-10-10,1979,10,10,0
1979-10-11,1979,10,11,0
1979-10-12,1979,10,12,0
1979-10-13,1979,10,13,0
1979-10-14,1979,10,14,0
1979-10-15,1979,10,15,0
1979-10-16,1979,10,16,0
1979-10-17,1979,10,17,0
1979-10-18,1979,10,18,0
1979-10-19,1979,10,19,5.4642721
1979-10-20,1979,10,20,12.145323
1979-10-21,1979,10,21,15.179855
1979-10-22,1979,10,22,5.2904069
1979-10-23,1979,10,23,23.520656
1979-10-24,1979,10,24,1.0346388
1979-10-25,1979,10,25,0
1979-10-26,1979,10,26,27.874863
1979-10-27,1979,10,27,0.048666297
1979-10-28,1979,10,28,15.464725
1979-10-29,1979,10,29,16.325609
1979-10-30,1979,10,30,21.39077
1979-10-31,1979,10,31,3.7926582
1979-11-01,1979,11,1,5.3669746
1979-11-02,1979,11,2,0
1979-11-03,1979,11,3,0
1979-11-04,1979,11,4,0
1979-11-05,1979,11,5,4.4683135
1979-11-06,1979,11,6,30.333347
1979-11-07,1979,11,7,0
1979-11-08,1979,11,8,0
1979-11-09,1979,11,9,0
1979-11-10,1979,11,10,0
1979-11-11,1979,11,11,37.466879
1979-11-12,1979,11,12,9.7715671
1979-11-13,1979,11,13,0
1979-11-14,1979,11,14,0
1979-11-15,1979,11,15,3.853738
1979-11-16,1979,11,16,14.674157
1979-11-17,1979,11,17,21.117349
1979-11-18,1979,11,18,21.801657
1979-11-19,1979,11,19,18.426739
1979-11-20,1979,11,20,18.044013
1979-11-21,1979,11,21,11.049307
1979-11-22,1979,11,22,9.0983461e-06
1979-11-23,1979,11,23,0
1979-11-24,1979,11,24,0
1979-11-25,1979,11,25,0
1979-11-26,1979,11,26,0
1979-11-27,1979,11,27,0
1979-11-28,1979,11,28,3.1318022
1979-11-29,1979,11,29,10.646706
1979-11-30,1979,11,30,0
1979-12-01,1979,12,1,0
1979-12-02,1979,12,2,2.8570757
1979-12-03,1979,12,3,5.275899
1979-12-04,1979,12,4,9.1345599
1979-12-05,1979,12,5,39.200021
1979-12-06,1979,12,6,19.453671
1979-12-07,1979,12,7,8.0509809
1979-12-08,1979,12,8,0
1979-12-09,1979,12,9,0
1979-12-10,1979,12,10,42.242247
1979-12-11,1979,12,11,29.642
1979-12-12,1979,12,12,0
1979-12-13,1979,12,13,1.1481756e-05
1979-12-14,1979,12,14,0
1979-12-15,1979,12,15,0
1979-12-16,1979,12,16,0
1979-12-17,1979,12,17,0
1979-12-18,1979,12,18,0
1979-12-19,1979,12,19,5.6076841
1979-12-20,1979,12,20,0
1979-12-21,1979,12,21,0
1979-12-22,1979,12,22,0
1979-12-23,1979,12,23,0
1979-12-24,1979,12,24,0
1979-12-25,1979,12,25,0
1979-12-26,1979,12,26,0
1979-12-27,1979,12,27,0
1979-12-28,1979,12,28,0
1979-12-29,1979,12,29,0
1979-12-30,1979,12,30,0
1979-12-31,1979,12,31,0
1980-01-01,1980,1,1,0
1980-01-02,1980,1,2,0
1980-01-03,1980,1,3,0
1980-01-04,1980,1,4,0
1980-01-05,1980,1,5,0
1980-01-06,1980,1,6,0
1980-01-07,1980,1,7,0
1980-01-08,1980,1,8,0
1980-01-09,1980,1,9,0
1980-01-10,1980,1,10,0
1980-01-11,1980,1,11,0
1980-01-12,1980,1,12,3.5308194
1980-01-13,1980,1,13,0
1980-01-14,1980,1,14,1.2557022
1980-01-15,1980,1,15,0
1980-01-16,1980,1,16,0
1980-01-17,1980,1,17,0
1980-01-18,1980,1,18,0
1980-01-19,1980,1,19,0
1980-01-20,1980,1,20,0
1980-01-21,1980,1,21,0
1980-01-22,1980,1,22,0
1980-01-23,1980,1,23,0
1980-01-24,1980,1,24,0
1980-01-25,1980,1,25,1.0083844
1980-01-26,1980,1,26,0
1980-01-27,1980,1,27,0
1980-01-28,1980,1,28,0
1980-01-29,1980,1,29,0
1980-01-30,1980,1,30,0
1980-01-31,1980,1,31,0
1980-02-01,1980,2,1,0
1980-02-02,1980,2,2,0
1980-02-03,1980,2,3,0
1980-02-04,1980,2,4,0
1980-02-05,1980,2,5,13.096874
1980-02-06,1980,2,6,10.480328
1980-02-07,1980,2,7,13.229994
1980-02-08,1980,2,8,37.354513
1980-02-09,1980,2,9,1.9476468
1980-02-10,1980,2,10,63.292516
1980-02-11,1980,2,11,27.725636
1980-02-12,1980,2,12,0
1980-02-13,1980,2,13,0
1980-02-14,1980,2,14,0
1980-02-15,1980,2,15,0
1980-02-16,1980,2,16,0
1980-02-17,1980,2,17,0
1980-02-18,1980,2,18,0
1980-02-19,1980,2,19,0.22750351
1980-02-20,1980,2,20,0
1980-02-21,1980,2,21,0.40818728
1980-02-22,1980,2,22,1.2112629
1980-02-23,1980,2,23,0
1980-02-24,1980,2,24,0
1980-02-25,1980,2,25,3.5939287
1980-02-26,1980,2,26,5.2430489
1980-02-27,1980,2,27,37.601437
1980-02-28,1980,2,28,80.379658
1980-02-29,1980,2,29,0.011314446
1980-03-01,1980,3,1,0
1980-03-02,1980,3,2,0
1980-03-03,1980,3,3,13.129197
1980-03-04,1980,3,4,12.233658
1980-03-05,1980,3,5,8.9153956
1980-03-06,1980,3,6,0
1980-03-07,1980,3,7,0
1980-03-08,1980,3,8,0
1980-03-09,1980,3,9,0
1980-03-10,1980,3,10,0
1980-03-11,1980,3,11,0
1980-03-12,1980,3,12,0
1980-03-13,1980,3,13,0.077520927
1980-03-14,1980,3,14,0
1980-03-15,1980,3,15,0
1980-03-16,1980,3,16,0
1980-03-17,1980,3,17,0
1980-03-18,1980,3,18,0.30447489
1980-03-19,1980,3,19,0
1980-03-20,1980,3,20,0
1980-03-21,1980,3,21,19.87352
1980-03-22,1980,3,22,0
1980-03-23,1980,3,23,0
1980-03-24,1980,3,24,0
1980-03-25,1980,3,25,5.499398
1980-03-26,1980,3,26,12.373904
1980-03-27,1980,3,27,0.52973781
1980-03-28,1980,3,28,0
1980-03-29,1980,3,29,0
1980-03-30,1980,3,30,0
1980-03-31,1980,3,31,0
1980-04-01,1980,4,1,0.22151942
1980-04-02,1980,4,2,42.732807
1980-04-03,1980,4,3,4.6828872
1980-04-04,1980,4,4,0
1980-04-05,1980,4,5,0
1980-04-06,1980,4,6,0.00023275996
1980-04-07,1980,4,7,23.948844
1980-04-08,1980,4,8,31.285374
1980-04-09,1980,4,9,37.277412
1980-04-10,1980,4,10,27.462388
1980-04-11,1980,4,11,13.94758
1980-04-12,1980,4,12,7.466251
1980-04-13,1980,4,13,1.6426853
1980-04-14,1980,4,14,0
1980-04-15,1980,4,15,0
1980-04-16,1980,4,16,29.750532
1980-04-17,1980,4,17,0.047186116
1980-04-18,1980,4,18,0
1980-04-19,1980,4,19,0
1980-04-20,1980,4,20,0
1980-04-21,1980,4,21,5.2139816
1980-04-22,1980,4,22,31.708471
1980-04-23,1980,4,23,27.785372
1980-04-24,1980,4,24,7.7108247
1980-04-25,1980,4,25,12.223969
1980-04-26,1980,4,26,6.0468712
1980-04-27,1980,4,27,16.873555
1980-04-28,1980,4,28,0
1980-04-29,1980,4,29,0
1980-04-30,1980,4,30,0
1980-05-01,1980,5,1,0
1980-05-02,1980,5,2,0
1980-05-03,1980,5,3,11.280499
1980-05-04,1980,5,4,17.147451
1980-05-05,1980,5,5,0.831303
1980-05-06,1980,5,6,11.881809
1980-05-07,1980,5,7,0
1980-05-08,1980,5,8,27.943344
1980-05-09,1980,5,9,46.598206
1980-05-10,1980,5,10,28.353743
1980-05-11,1980,5,11,87.222726
1980-05-12,1980,5,12,67.782822
1980-05-13,1980,5,13,51.269188
1980-05-14,1980,5,14,9.0425299
1980-05-15,1980,5,15,0
1980-05-16,1980,5,16,0
1980-05-17,1980,5,17,7.6840324
1980-05-18,1980,5,18,16.290155
1980-05-19,1980,5,19,31.265928
1980-05-20,1980,5,20,31.814303
1980-05-21,1980,5,21,30.356452
1980-05-22,1980,5,22,38.191867
1980-05-23,1980,5,23,15.151895
1980-05-24,1980,5,24,0
1980-05-25,1980,5,25,0
1980-05-26,1980,5,26,35.882196
1980-05-27,1980,5,27,20.139707
1980-05-28,1980,5,28,19.160396
1980-05-29,1980,5,29,47.541672
1980-05-30,1980,5,30,18.543438
1980-05-31,1980,5,31,9.3926879e-05
1980-06-01,1980,6,1,0
1980-06-02,1980,6,2,0
1980-06-03,1980,6,3,0.7934725
1980-06-04,1980,6,4,19.828853
1980-06-05,1980,6,5,12.057034
1980-06-06,1980,6,6,7.8413178
1980-06-07,1980,6,7,19.032419
1980-06-08,1980,6,8,18.708604
1980-06-09,1980,6,9,0
1980-06-10,1980,6,10,0
1980-06-11,1980,6,11,0
1980-06-12,1980,6,12,0
1980-06-13,1980,6,13,0
1980-06-14,1980,6,14,33.176194
1980-06-15,1980,6,15,25.027033
1980-06-16,1980,6,16,14.473332
1980-06-17,1980,6,17,28.599629
1980-06-18,1980,6,18,0
1980-06-19,1980,6,19,0
1980-06-20,1980,6,20,10.598159
1980-06-21,1980,6,21,5.7987784
1980-06-22,1980,6,22,45.346984
1980-06-23,1980,6,23,11.523085
1980-06-24,1980,6,24,16.645122
1980-06-25,1980,6,25,0
1980-06-26,1980,6,26,61.096277
1980-06-27,1980,6,27,43.364736
1980-06-28,1980,6,28,0.87438986
1980-06-29,1980,6,29,0.65491243
1980-06-30,1980,6,30,0
1980-07-01,1980,7,1,0
1980-07-02,1980,7,2,0
1980-07-03,1980,7,3,0
1980-07-04,1980,7,4,0
1980-07-05,1980,7,5,1.6322695
1980-07-06,1980,7,6,5.2267791
1980-07-07,1980,7,7,3.3711996
1980-07-08,1980,7,8,0
1980-07-09,1980,7,9,0
1980-07-10,1980,7,10,0
1980-07-11,1980,7,11,0
1980-07-12,1980,7,12,53.864771
1980-07-13,1980,7,13,3.6096544
1980-07-14,1980,7,14,0
1980-07-15,1980,7,15,0.73578304
1980-07-16,1980,7,16,0
1980-07-17,1980,7,17,46.181392
1980-07-18,1980,7,18,25.810882
1980-07-19,1980,7,19,12.467251
1980-07-20,1980,7,20,36.343309
1980-07-21,1980,7,21,5.8585811
1980-07-22,1980,7,22,0
1980-07-23,1980,7,23,0.39652123
1980-07-24,1980,7,24,9.5934435
1980-07-25,1980,7,25,15.224007
1980-07-26,1980,7,26,16.47275
1980-07-27,1980,7,27,31.765648
1980-07-28,1980,7,28,10.56907
1980-07-29,1980,7,29,0
1980-07-30,1980,7,30,3.3072836
1980-07-31,1980,7,31,0.0079367853
1980-08-01,1980,8,1,0
1980-08-02,1980,8,2,8.3023801
1980-08-03,1980,8,3,12.919194
1980-08-04,1980,8,4,2.5401558
1980-08-05,1980,8,5,43.992431
1980-08-06,1980,8,6,26.779586
1980-08-07,1980,8,7,43.061243
1980-08-08,1980,8,8,40.784572
1980-08-09,1980,8,9,14.843798
1980-08-10,1980,8,10,0
1980-08-11,1980,8,11,0
1980-08-12,1980,8,12,0
1980-08-13,1980,8,13,0
1980-08-14,1980,8,14,21.062413
1980-08-15,1980,8,15,13.368986
1980-08-16,1980,8,16,0
1980-08-17,1980,8,17,8.1253848
1980-08-18,1980,8,18,9.9900787
1980-08-19,1980,8,19,22.390966
1980-08-20,1980,8,20,14.616401
1980-08-21,1980,8,21,0
1980-08-22,1980,8,22,0
1980-08-23,1980,8,23,0
1980-08-24,1980,8,24,2.2989431
1980-08-25,1980,8,25,0
1980-08-26,1980,8,26,0
1980-08-27,1980,8,27,0
1980-08-28,1980,8,28,0
1980-08-29,1980,8,29,12.175091
1980-08-30,1980,8,30,12.091841
1980-08-31,1980,8,31,0
1980-09-01,1980,9,1,0
1980-09-02,1980,9,2,0.0091681653
1980-09-03,1980,9,3,0
1980-09-04,1980,9,4,0
1980-09-05,1980,9,5,0
1980-09-06,1980,9,6,20.159208
1980-09-07,1980,9,7,7.9160853
1980-09-08,1980,9,8,0
1980-09-09,1980,9,9,0
1980-09-10,1980,9,10,0
1980-09-11,1980,9,11,0
1980-09-12,1980,9,12,5.5862176
1980-09-13,1980,9,13,4.5930593
1980-09-14,1980,9,14,0
1980-09-15,1980,9,15,0
1980-09-16,1980,9,16,0
1980-09-17,1980,9,17,15.400934
1980-09-18,1980,9,18,0
1980-09-19,1980,9,19,0
1980-09-20,1980,9,20,0
1980-09-21,1980,9,21,0
1980-09-22,1980,9,22,0
1980-09-23,1980,9,23,0
1980-09-24,1980,9,24,0
1980-09-25,1980,9,25,11.178347
1980-09-26,1980,9,26,9.2205165
1980-09-27,1980,9,27,0.051834905
1980-09-28,1980,9,28,31.442558
1980-09-29,1980,9,29,11.266172
1980-09-30,1980,9,30,6.6225091
1980-10-01,1980,10,1,0
1980-10-02,1980,10,2,0
1980-10-03,1980,10,3,0
1980-10-04,1980,10,4,0
1980-10-05,1980,10,5,0
1980-10-06,1980,10,6,3.5237032
1980-10-07,1980,10,7,0
1980-10-08,1980,10,8,0
1980-10-09,1980,10,9,1.5615796
1980-10-10,1980,10,10,0
1980-10-11,1980,10,11,0
1980-10-12,1980,10,12,0
1980-10-13,1980,10,13,0
1980-10-14,1980,10,14,0
1980-10-15,1980,10,15,0
1980-10-16,1980,10,16,0
1980-10-17,1980,10,17,0
1980-10-18,1980,10,18,0
1980-10-19,1980,10,19,0
1980-10-20,1980,10,20,5.2003617
1980-10-21,1980,10,21,1.8301305
1980-10-22,1980,10,22,0
1980-10-23,1980,10,23,0
1980-10-24,1980,10,24,0
1980-10-25,1980,10,25,0
1980-10-26,1980,10,26,0
1980-10-27,1980,10,27,0
1980-10-28,1980,10,28,2.1387513
1980-10-29,1980,10,29,0
1980-10-30,1980,10,30,0
1980-10-31,1980,10,31,0
1980-11-01,1980,11,1,0.15335685
1980-11-02,1980,11,2,26.102901
1980-11-03,1980,11,3,0
1980-11-04,1980,11,4,2.2308387
1980-11-05,1980,11,5,20.758467
1980-11-06,1980,11,6,36.511991
1980-11-07,1980,11,7,2.4674432
1980-11-08,1980,11,8,0
1980-11-09,1980,11,9,0.3754706
1980-11-10,1980,11,10,0
1980-11-11,1980,11,11,0
1980-11-12,1980,11,12,0
1980-11-13,1980,11,13,0
1980-11-14,1980,11,14,0
1980-11-15,1980,11,15,0.32489666
1980-11-16,1980,11,16,0
1980-11-17,1980,11,17,0
1980-11-18,1980,11,18,14.027471
1980-11-19,1980,11,19,8.5100108
1980-11-20,1980,11,20,0.10891401
1980-11-21,1980,11,21,2.74831
1980-11-22,1980,11,22,0
1980-11-23,1980,11,23,0
1980-11-24,1980,11,24,0
1980-11-25,1980,11,25,0
1980-11-26,1980,11,26,0
1980-11-27,1980,11,27,0
1980-11-28,1980,11,28,0
1980-11-29,1980,11,29,0
1980-11-30,1980,11,30,0
1980-12-01,1980,12,1,0
1980-12-02,1980,12,2,0
1980-12-03,1980,12,3,0
1980-12-04,1980,12,4,0.73772589
1980-12-05,1980,12,5,0
1980-12-06,1980,12,6,0
1980-12-07,1980,12,7,0
1980-12-08,1980,12,8,0
1980-12-09,1980,12,9,6.3825094
1980-12-10,1980,12,10,0.20260856
1980-12-11,1980,12,11,0.92553872
1980-12-12,1980,12,12,33.214936
1980-12-13,1980,12,13,0.0063665279
1980-12-14,1980,12,14,0
1980-12-15,1980,12,15,0
1980-12-16,1980,12,16,8.5336777
1980-12-17,1980,12,17,6.0761269
1980-12-18,1980,12,18,7.7137897
1980-12-19,1980,12,19,0
1980-12-20,1980,12,20,0
1980-12-21,1980,12,21,0
1980-12-22,1980,12,22,0
1980-12-23,1980,12,23,0
1980-12-24,1980,12,24,0
1980-12-25,1980,12,25,0
1980-12-26,1980,12,26,0
1980-12-27,1980,12,27,0
1980-12-28,1980,12,28,5.0169878
1980-12-29,1980,12,29,77.901278
1980-12-30,1980,12,30,20.494927
1980-12-31,1980,12,31,4.9711894
1981-01-01,1981,1,1,0
1981-01-02,1981,1,2,0
1981-01-03,1981,1,3,0
1981-01-04,1981,1,4,0
1981-01-05,1981,1,5,3.4550443
1981-01-06,1981,1,6,0
1981-01-07,1981,1,7,0
1981-01-08,1981,1,8,0
1981-01-09,1981,1,9,0
1981-01-10,1981,1,10,2.3938893
1981-01-11,1981,1,11,0
1981-01-12,1981,1,12,0
1981-01-13,1981,1,13,0
1981-01-14,1981,1,14,0.06304637
1981-01-15,1981,1,15,0
1981-01-16,1981,1,16,0
1981-01-17,1981,1,17,41.328099
1981-01-18,1981,1,18,56.94493
1981-01-19,1981,1,19,76.099293
1981-01-20,1981,1,20,0.7005862
1981-01-21,1981,1,21,0
1981-01-22,1981,1,22,14.195833
1981-01-23,1981,1,23,9.710181
1981-01-24,1981,1,24,16.074341
1981-01-25,1981,1,25,12.513235
1981-01-26,1981,1,26,12.213745
1981-01-27,1981,1,27,5.0027783
1981-01-28,1981,1,28,0
1981-01-29,1981,1,29,0
1981-01-30,1981,1,30,0
1981-01-31,1981,1,31,0
1981-02-01,1981,2,1,0
1981-02-02,1981,2,2,0.45998165
1981-02-03,1981,2,3,0
1981-02-04,1981,2,4,0
1981-02-05,1981,2,5,0
1981-02-06,1981,2,6,16.900853
1981-02-07,1981,2,7,2.1847906
1981-02-08,1981,2,8,0
1981-02-09,1981,2,9,0
1981-02-10,1981,2,10,0
1981-02-11,1981,2,11,0
1981-02-12,1981,2,12,7.7036192
1981-02-13,1981,2,13,0
1981-02-14,1981,2,14,0
1981-02-15,1981,2,15,0
1981-02-16,1981,2,16,0
1981-02-17,1981,2,17,0
1981-02-18,1981,2,18,0
1981-02-19,1981,2,19,0
1981-02-20,1981,2,20,0
1981-02-21,1981,2,21,0
1981-02-22,1981,2,22,0
1981-02-23,1981,2,23,0
1981-02-24,1981,2,24,0.047641487
1981-02-25,1981,2,25,0
1981-02-26,1981,2,26,0
1981-02-27,1981,2,27,0
1981-02-28,1981,2,28,0
1981-03-01,1981,3,1,0
1981-03-02,1981,3,2,0
1981-03-03,1981,3,3,0
1981-03-04,1981,3,4,0
1981-03-05,1981,3,5,0
1981-03-06,1981,3,6,0
1981-03-07,1981,3,7,0
1981-03-08,1981,3,8,0
1981-03-09,1981,3,9,0
